"split_1","split_2","split_3","split_4","split_5"
17987,39995,31963,14921,19079
36959,37218,25252,30612,1929
17841,16534,8561,28559,29042
31109,8715,11882,45553,49585
31372,8845,31402,17933,35673
37271,20120,35941,27401,45761
29964,4931,40261,32929,19657
45191,34358,8043,21654,11594
23959,4462,35143,11368,6847
43149,9030,41782,23180,49813
15573,36020,4891,35289,17144
18780,21730,23096,2638,12865
27325,45270,9838,40251,14699
288,31238,12795,27376,40298
43613,42460,5860,22797,8241
45677,31966,5855,41873,34390
16148,3683,37550,754,24161
31849,47221,37489,17297,42675
39782,11676,31342,36704,34844
25098,8631,29054,40907,30807
20040,49724,33902,7740,42091
18420,5640,8935,36387,45931
41603,44441,30613,8338,40252
20682,11278,22275,14196,12650
2297,1482,41027,43671,44435
24795,47325,2399,46497,36905
31996,29502,23883,18306,46200
25052,46105,8712,2981,36893
33771,46650,24991,32560,33396
27439,16806,18410,37393,37506
29639,15833,2995,32571,31040
34954,23620,1405,47324,3084
777,11321,41264,13642,46384
49848,40328,46208,43286,13261
35060,40325,5864,9492,38066
20651,18492,45126,13317,10523
44291,35230,2416,27871,22019
1288,45732,25096,29181,1853
5881,42942,10983,17744,45854
12968,35309,13214,16790,13132
15383,10634,28175,9701,45839
8282,27028,4268,44669,28333
22748,18482,22770,4479,35520
10085,25938,6603,17497,11625
46413,37099,6755,30596,4294
27966,25335,22115,18537,37030
5240,3736,5275,20895,1759
39223,11875,4609,23247,7325
8979,34753,47667,48985,23887
29989,6047,5555,4008,18668
10579,27599,28691,47787,13981
31843,31756,42567,26290,28972
41581,11556,5932,43176,12933
37633,14872,11017,23319,8411
26764,47951,3851,2433,23166
31593,41136,28952,17260,33086
22479,11647,39284,32946,24658
1615,48738,25596,3928,8874
13678,18860,49885,40813,10017
46384,2154,44716,27618,49902
7604,42802,41886,25399,18822
41182,21606,6916,43826,23566
39099,20560,21011,31537,48366
46762,40843,44842,42840,47224
43837,16919,49485,18118,14849
2525,37379,7710,20847,49167
38908,33589,21343,18699,25121
46443,27481,33908,8066,16005
20376,17179,37271,19237,40245
42565,21748,9624,30039,23539
27317,44554,40469,22624,41512
611,37355,37217,31661,11101
46880,43470,45166,2696,28766
29939,11182,28857,10067,21697
40211,46889,27698,20441,45611
21152,30390,5994,33364,3422
42633,34463,38350,47848,40086
7251,6490,16685,27019,32246
31505,47867,22260,20029,7902
25722,32752,1303,43717,38183
27393,12543,45167,16805,14835
29357,24419,5159,28272,14112
8653,37348,31500,24567,20337
22668,30315,1625,44135,3659
18796,1598,36210,15509,28347
38820,41038,37078,9082,24273
39850,29755,25789,20114,32835
38141,41668,25606,22182,49057
46307,39727,29906,43646,33624
33156,2416,815,14945,43135
2484,48373,39495,13140,4518
34256,33432,7853,47312,48890
14839,32261,7554,38025,34815
32429,47298,30087,2551,31083
714,7596,28596,47236,9205
12806,49406,5048,20395,16207
17316,17786,14656,31724,29910
38917,16952,13691,43928,43087
5929,6176,16639,30572,21573
45816,32667,11765,6609,17404
16477,9727,43410,23311,42380
28851,19128,24161,41022,41417
32971,33219,45279,13914,29554
26640,38296,16990,45330,27691
36190,35028,36691,24923,31533
46158,39784,44974,12291,30861
43092,31266,9455,19066,108
32510,42096,38463,27461,14819
21022,6362,3150,3472,13687
37392,27803,37042,30756,43478
22788,8214,25777,38624,919
43665,30371,2996,17734,24097
20067,25447,6635,43327,24473
35578,26836,39758,13598,24319
48878,19811,11659,4887,43123
33712,33989,33537,28455,35054
21565,5920,9638,7196,49320
44199,37406,30714,37972,40847
35675,47869,24560,21230,15706
2159,3322,49003,49440,37104
44032,41282,17496,48254,39053
22162,7109,49685,36397,41167
7952,27091,16453,38177,13089
24351,39055,30719,36098,20464
36365,49106,41367,27361,29920
45596,3452,12845,7044,1873
10591,5204,10851,41080,18529
28299,16216,816,32281,46115
40046,18122,17586,11272,6793
6954,1273,3174,42937,41496
21501,143,29659,46029,38738
38860,43083,10884,37619,39722
22759,24656,47824,10569,28303
45165,23437,23446,30620,11059
19061,46428,41785,7912,34899
37303,1394,2672,35675,15395
32594,17554,6289,28307,12915
7557,4019,43377,1278,45529
2309,39803,28524,41498,15572
2410,32216,19217,8137,42939
27776,20431,5838,1748,11090
6540,40397,4575,28457,21672
22631,27042,38771,21131,1713
42907,20613,33895,25024,25928
5438,3771,37052,4589,20788
20220,43925,8010,25239,37335
39407,13019,13458,46069,15
27720,30750,26327,25108,36878
6746,14842,32977,3725,35018
15752,8660,5449,32918,20623
14043,42271,7010,1938,40636
43531,40423,43785,22560,12890
5137,16936,7832,1291,28003
43947,45263,31499,10321,15754
45264,35477,25349,26075,17413
14026,33640,23708,23163,21683
12781,30300,32885,13380,320
31583,30306,12222,47640,7529
18914,26932,20889,860,12979
9058,41037,32613,27452,48514
3201,29197,41627,39472,49599
474,9721,49909,5611,30545
24316,33374,40799,48529,9472
6841,34983,49519,13480,37028
40177,37598,2511,46576,28731
40102,8026,46540,44631,27003
4484,13641,38477,3829,4507
23146,13123,18009,26169,37096
9071,12196,422,49419,17772
36482,14406,21207,19053,31583
35949,3714,1421,17152,44044
31322,27678,47756,8094,19908
29929,23398,15397,34137,32370
5848,26914,45572,26060,42532
25047,7420,32399,4458,24663
32974,9228,18043,24486,26320
16948,7698,43314,25166,11943
28752,10558,33575,9263,21114
34112,28716,44568,39855,13740
41545,39439,16794,44033,28197
27604,27324,47335,28118,19082
38660,17669,8992,17769,3016
45514,33704,35835,43957,7603
26767,33786,19167,5962,20465
25754,13840,10443,16637,14799
16032,26930,40985,45741,27643
11084,2747,35910,25554,25964
26484,24863,21929,26235,42015
36678,89,30816,8929,9306
46659,34759,22436,37904,25438
10316,8096,5440,40774,15357
9194,33866,20057,33646,42350
2936,752,28164,48052,37377
40659,1165,36727,45544,34948
35612,24236,24816,48567,28792
48590,16608,1157,29332,30074
49274,2016,12959,32528,21729
946,34833,19977,15824,29193
10669,13370,47696,997,8797
11837,8540,7322,33966,35951
10563,47935,14163,19510,36889
27252,17182,5875,30106,32584
42007,40595,36280,43542,9455
30163,5772,2276,36462,35550
43066,8613,21235,48661,12075
26051,48381,31264,42739,27842
14620,22392,28354,4530,8570
33385,2894,1664,6576,44582
18533,2050,43453,853,22967
37002,26179,2102,46358,7919
24015,38561,30860,20208,38354
9280,1944,6217,9327,12456
43395,44941,27708,45879,5825
40256,8345,11437,5037,33648
31398,26036,13642,46174,6919
48503,11018,47823,20115,9566
22763,9362,12627,48105,24041
249,22608,5706,27705,49975
10235,35310,9289,19199,41715
45440,14895,34077,7363,49374
7473,20585,15794,33768,20158
38626,30346,12618,15559,31329
38302,38404,36515,38731,38451
7480,35570,33885,2095,17883
40061,49944,47254,19844,12291
36587,24489,19610,26013,23087
44486,9783,2685,23805,47011
22912,31030,12274,36894,8388
38151,39206,8405,38804,32845
39970,6819,3281,36980,46473
2332,24032,47694,33744,47159
41715,41824,2387,16296,29140
40628,15723,48506,23969,25586
8240,4730,25510,12457,35000
6104,5663,22694,43606,38711
46790,717,40830,46951,7585
27926,2309,4497,14971,22307
41799,26142,15136,25227,42702
33061,17097,6072,37812,8435
2562,12617,41926,28333,9655
33299,37560,3922,23289,25351
40024,34503,11356,10141,1155
34275,23427,43267,30835,33372
16155,36141,3338,48647,40089
44405,16932,26361,20838,33574
9772,20297,4450,41472,15254
12576,4166,14885,12135,13793
25041,25088,31920,7277,35242
42142,24886,19872,30074,35768
36388,4260,3063,12769,36139
16839,12004,4177,3328,20380
9613,19346,40873,111,42575
49563,21501,946,21843,15746
4959,17510,22684,27209,6791
19409,40071,33370,32866,40813
36530,5983,14517,26973,37861
30336,31233,24021,9907,1957
41739,13465,32184,14338,2227
13835,25261,20238,6484,38007
20421,46245,33485,48652,26521
5214,47146,46273,24368,29329
43074,32314,37523,13207,9344
42235,3432,45205,14304,35383
49574,2343,41377,2377,349
1062,30994,41618,21254,25583
553,30741,1653,46020,27904
44524,45409,27594,31420,36230
25822,32464,23442,3592,35356
33580,6020,31196,27625,29783
44713,7699,4515,29820,10172
44632,1935,7672,39563,32296
31508,35383,32951,47133,12810
48323,6301,35727,26496,6725
31786,13841,49104,6117,42923
23324,10621,20372,23835,28611
21325,27365,2865,9615,36597
30472,15322,43519,2639,49158
20207,41124,2142,16897,47202
29916,22828,17562,48490,7672
4404,13299,49087,22381,22254
16137,10490,8867,17970,41056
34829,794,46812,28179,41202
16571,17154,28911,36192,10535
42310,17890,43821,6478,6353
12766,40306,13894,41732,28434
23266,49163,43015,17231,25686
31371,7963,38255,23604,10239
46844,44375,1406,23715,23755
45654,7969,27571,42098,49345
5306,30067,25046,45397,33514
41310,9323,38896,10189,13044
44637,31591,36228,14021,14084
23505,19868,7077,17141,37607
46235,7711,30153,7689,19441
11686,25997,8515,44038,25730
9807,34862,16245,18393,19012
18024,8235,45767,37669,40255
23771,32620,2559,39387,14393
27454,18588,1808,37421,6636
20937,7406,19968,9189,43927
42676,8586,36491,41342,26781
25474,16684,27798,42277,35421
14906,8838,27330,37631,44359
42037,46121,27509,22055,13209
13719,49323,32003,32966,34697
8407,4979,10620,4991,14228
12697,15533,43108,14456,9484
32194,13092,39621,33816,6305
48183,13623,23508,15378,29152
26198,4404,39250,18933,29148
44795,27402,37799,35583,17577
3393,32553,30846,7577,5077
39059,33271,28060,12604,20003
39274,1120,4024,31839,36637
34177,11747,31248,44740,16524
20380,42729,42741,10766,37983
47608,27269,25173,3611,11238
28319,41480,4857,46534,29361
45603,22551,20288,13893,31804
3889,30362,39889,36344,41527
9493,19532,41824,32524,12261
18288,10665,29271,10448,26604
17335,8283,41294,47373,26276
19566,45004,34355,35057,34482
26496,46868,48540,41350,42891
49379,26352,7814,298,19192
11652,22223,4769,34975,24676
41765,18880,9636,44585,1113
33897,1552,28034,31191,16232
20592,33415,44339,13022,10551
39503,9481,8759,40635,39872
32940,14230,2258,37481,8952
25661,25406,48771,43483,20078
40704,38347,9968,29251,7626
39933,27753,12292,9057,22489
12216,40820,48611,37612,1594
18811,23338,26823,5770,3182
23999,23775,29050,17723,2859
22553,3494,11761,12199,47588
45048,25776,33508,37707,44557
42782,46686,33997,35997,38360
21617,16533,29459,39183,1733
2890,14140,1407,41323,24646
14422,2036,22741,7877,7786
2489,41011,42903,45970,26720
21792,46090,25570,12331,491
13935,26356,37732,9523,39895
26312,11204,10564,12225,4528
652,36036,18962,6984,36586
320,7248,24598,9722,11692
20588,35741,19287,44860,8033
32310,29778,26953,7739,39299
43861,19226,41291,8191,33125
11322,37073,31400,25934,15156
26754,10108,42851,21905,47905
41518,12653,35423,37920,48160
26369,26158,1108,19878,33824
40841,34212,30081,26629,25426
15525,5623,23375,13164,28657
42815,29342,41939,39177,24712
18022,24847,37425,22647,25638
5304,16203,21634,46,29971
36783,8382,33923,46238,16676
38324,44935,17437,47611,7293
28558,37788,19618,43935,26001
38490,20408,41324,1422,27071
3729,34112,47965,16635,3597
46999,42166,26169,42025,13492
11216,48818,9495,44569,1699
7834,47072,30570,46855,37001
24738,48579,23188,37959,3839
35000,34508,10868,45671,34407
49412,31566,43045,26890,46232
22126,11274,40167,35247,16747
9326,10212,34062,27246,46350
10725,27602,40061,9803,26113
27992,48044,10135,22101,28748
21391,5748,32602,22168,11881
43331,29075,28245,18472,32649
31772,26028,18566,4083,1737
22953,16073,19542,9719,8912
14784,34313,37586,43489,18764
14463,34694,38518,17443,7383
15034,27569,40681,13487,28146
7994,48613,31898,5087,12375
41098,15670,37234,27205,49555
44708,28040,21912,49371,32072
43899,32126,14033,28386,12440
45784,11252,3332,25984,46512
18065,5911,47522,8211,26967
10452,39541,22356,11230,7510
22642,45500,21781,15295,6177
19369,19006,30462,28673,21173
32857,17401,9808,12645,29484
9876,12646,3410,7063,14793
43714,44957,9421,49010,3663
32806,48032,8687,36560,15270
4671,35039,5249,27828,7220
47337,6180,16506,39970,25879
32408,5550,9575,35084,18
15363,2738,33511,18444,49130
21088,16284,11731,21036,3845
10,27079,37149,9475,42414
26896,27296,41567,42986,6125
30607,13690,48856,38014,43751
39007,47721,25885,11240,49026
45351,4581,31555,3639,44224
38972,7838,3030,12241,36173
40915,15797,21188,3219,17332
24629,43737,1635,12498,45995
21121,9122,34144,35619,35294
12469,15720,2789,29716,847
13997,36967,2325,26091,39837
6,31000,17717,37833,17453
41772,29686,43281,35354,45525
9858,35983,43513,42720,15557
45117,3363,8147,18961,8255
40212,19668,38892,23645,6827
232,40153,844,15502,26203
14350,9776,40453,46451,5708
40370,28575,35452,12525,37050
41873,35472,15699,15984,22250
19864,34426,683,31619,28879
13647,27002,7153,43838,6972
15973,29499,36622,25498,19269
30007,23138,47999,4905,18294
38760,30701,44002,29327,36724
12712,17958,3873,26750,4963
20867,16493,1243,14182,29199
43420,33721,1891,26228,41264
10175,7308,46423,40720,40230
45680,5171,622,41177,34005
11186,22511,15428,7580,43806
15367,12586,32888,35838,8167
46510,44681,37206,13330,19880
41071,47391,12082,2067,43504
25978,6365,36832,10339,45365
37117,48071,47059,14585,45647
34981,11902,8750,38083,25944
35960,1267,11680,29890,23298
18138,11547,47714,37186,41589
1166,27822,30066,10058,24162
39273,6659,34117,40633,35700
41998,19145,19903,15369,19389
21801,2277,3719,14180,37118
41683,22080,22424,6760,11219
26382,12966,10832,32523,40088
30773,32071,48822,23135,34849
16836,2785,40113,34317,44298
31211,25387,28452,12485,6848
17191,17372,878,17161,18507
25317,21674,4552,9900,46895
44014,4580,31572,9587,33569
26422,15968,9296,19202,11263
17213,784,18061,28530,37356
7938,21772,40504,29787,48935
25055,20713,12995,40897,19453
1651,35104,24259,26393,33271
47699,15755,11889,48174,47128
47845,19303,20564,14336,38851
1508,32173,7503,15067,43825
17679,9271,46822,13118,40841
46864,27144,37844,8227,23392
32328,5559,19991,24722,7711
48600,29421,12876,42596,6733
112,11771,46533,42992,33405
11790,3641,42109,46570,2553
21322,21000,27631,11694,803
11635,5326,46458,5526,42642
20686,47055,49110,41269,1564
15572,20368,19005,24658,28496
15980,29849,11998,11779,10599
43685,42069,23156,35025,24508
2911,1246,2803,40833,5010
28154,4507,34958,28362,22721
47363,22050,11649,49005,26110
29565,11302,11041,42657,10486
23596,21033,17529,42643,22927
14675,6906,47589,39835,31356
44623,7872,18201,47703,34489
16039,49602,12883,21729,1913
19504,20393,41186,39414,38674
42634,39658,31727,22015,45552
8966,7797,47560,6517,186
47447,15353,36435,36107,12129
26020,12821,32900,22628,18992
10738,22824,49612,46721,43025
45373,19429,32528,12157,15806
44546,37450,31966,4115,14045
22427,46337,28005,1932,18767
22603,35888,22421,33954,31663
33671,8342,26751,5787,10514
48141,18837,41723,11719,12582
49296,3232,405,44785,7487
42080,15450,4197,43095,39580
12362,2621,37968,23235,9428
28228,16556,43557,44921,28558
9244,12516,28589,41391,11188
7668,2967,30249,36490,5276
27444,44914,37109,19552,4675
42819,17096,30316,5588,41217
9609,34656,49985,15895,2985
28116,15666,48243,38072,1219
43923,48287,47135,28007,22637
23041,4695,16307,48450,4334
28436,4820,12992,20604,24593
47720,34093,22683,11552,23364
38104,43359,13610,42844,39412
31497,6706,37610,46537,27615
49067,11820,6180,49708,40564
7352,23410,16134,45752,49021
44154,46335,7449,25995,46026
20340,11557,38930,42475,42747
28819,12619,23686,5942,12816
49719,36646,28341,46251,14421
9289,6061,11754,23587,5426
5619,37996,29491,40684,9633
26651,49539,35064,37898,5660
42016,18362,218,12444,49755
29023,1681,5596,35202,5173
21699,47060,33308,46279,33900
44701,23375,42856,28901,8367
24241,42590,28604,15543,3157
9414,18410,1256,47124,36643
43535,5090,47706,11645,36942
31978,17549,11702,9855,7704
17600,8366,18387,30871,21653
6806,17862,27675,22274,10880
37519,42548,31805,34245,17318
23957,45538,20004,12475,20673
26572,39318,16523,9931,23668
29767,37793,17204,35195,5269
17519,38399,16436,28525,30855
37572,32574,29753,49990,32261
39205,14741,2941,42320,4112
45676,18992,27981,42055,6370
2490,34914,42984,1502,9677
47086,14780,24589,4889,6721
30265,2770,21799,46007,47907
42104,36566,35003,19880,9805
41122,16104,34546,19759,47162
25847,28914,22748,20740,33304
27275,43595,36649,43108,43786
41648,14814,32494,30882,37134
22334,36528,20511,14025,18723
693,27384,35885,41409,39656
25889,34565,38355,19979,16209
37661,43654,22809,45656,37967
12374,462,14477,36874,6458
34920,12310,21217,6730,17581
45075,26604,20628,10388,3978
22528,13386,26129,48431,917
5149,1909,13590,49540,8745
22252,23996,1316,5227,48783
10406,32562,23866,46085,1494
6161,3956,38416,15362,21589
9389,28905,36607,30268,4371
4918,35409,45036,16352,27218
40017,20242,1667,42722,24389
31345,36281,18957,35030,16807
2580,27542,44309,16287,35239
25660,37525,2063,15270,34269
13556,27498,37965,17950,44123
48475,11480,24684,25957,18490
36793,8888,39430,24346,16729
34493,13757,17473,48751,13426
14094,41670,10605,35183,43767
45944,1900,35958,44725,36440
9323,28078,13332,34824,20929
20765,30593,26238,47487,44288
44969,12177,46529,22243,27933
35603,45593,23947,20344,39471
32564,13433,25840,22829,1369
17417,37249,2842,48085,17571
28859,47135,31779,47398,26323
17181,21676,15931,12400,47445
46642,44336,496,38547,42951
21471,10637,48650,44507,6774
9162,1905,45939,45148,46213
13343,35044,1903,21108,13911
22370,21690,155,16951,10909
28265,14857,600,10870,9937
38869,35866,40279,42999,49275
47708,47290,30317,3923,9361
33430,9578,42150,26587,23576
20868,9242,5782,510,46997
34041,39081,47186,4786,3495
36380,7380,31840,13307,21658
35008,537,12631,4491,17929
33151,12977,9615,42292,12048
36305,6454,45358,45621,15259
13949,2630,14198,27184,9929
35731,28738,3117,16208,25217
38942,949,47494,48592,11547
19374,13173,30523,21139,19356
23939,29038,34632,2172,23743
23787,32290,18935,13603,28997
2399,35889,48045,34988,22108
21839,42172,6596,22480,20493
33399,22142,21767,11898,48601
5360,25809,32610,28243,19913
38772,43437,26518,48607,36789
19038,25669,47001,48636,35087
11366,49861,745,27651,24982
40168,9199,6699,5422,19040
4835,33647,3710,41969,43209
23695,35105,11489,31579,20583
40725,292,4376,28896,47279
24084,28172,14139,45987,11235
19767,43230,2636,9117,30474
34743,24774,47860,36231,14665
16170,14450,3661,35267,14718
27459,7408,41368,9755,19760
8243,17171,24588,17280,37810
18230,20231,32627,42661,8985
46583,38479,42399,19168,13998
3022,26498,31868,32149,45561
45301,47082,19425,40414,9747
23372,14956,24923,43839,3923
18553,7933,10657,12126,26867
43807,49464,37683,37348,23497
49592,22624,28879,31913,47215
49029,30541,45132,30857,21353
4139,1586,41750,8586,31193
2069,25588,39230,27310,36541
42968,23449,1356,48526,22565
45666,26248,23128,41828,43
47195,26010,38454,46782,17190
44735,45994,4069,43249,17157
5854,589,34446,29539,45382
2632,5318,39267,16778,40669
40262,12006,28498,47006,5256
30292,33939,15243,28089,7728
40100,15555,32655,4435,44037
22818,45053,32395,11729,2226
20438,25160,39504,49917,27357
16582,23399,25815,43500,24465
24558,19817,19951,23553,37632
27415,47860,3605,28329,7940
44110,47748,37100,47853,12626
45045,15606,45463,344,19101
3166,41959,28642,27228,7897
8919,21499,29173,16912,16007
2686,1249,16640,14421,44555
29592,9829,45259,48865,34152
16135,41268,24439,30163,48516
39571,16453,32283,16647,45630
1511,40107,45075,30500,37915
32253,5618,37123,31969,22993
2820,32011,1482,31115,47119
15313,5586,7859,37360,182
14487,890,24926,35864,48330
43583,28320,9690,1475,43125
18429,27196,21337,38846,12146
11021,8297,28885,36813,40248
25785,42068,41048,12864,46806
24773,22615,37104,37006,11645
25359,29313,38543,23982,21884
17168,43052,33264,27921,37043
35611,41696,7497,14098,46137
32409,11846,39294,11013,6434
18359,21424,5244,49153,19840
27650,27795,46806,43749,6153
48072,23242,4088,24949,9465
29633,44403,7627,31385,26594
32171,44837,37422,10317,45578
43045,14595,26858,38061,180
7969,11576,12661,4743,49692
29998,25500,19659,398,1319
6025,22649,10532,32892,12267
34099,48148,41172,41014,12868
44031,45306,6000,24256,40167
12668,30303,6238,27935,33034
47328,10076,5357,21520,36613
48807,17889,845,42457,20996
6469,29956,18077,28260,41311
31532,7500,655,49004,9933
49494,41277,8285,5521,45887
8848,24834,31596,29053,35858
14762,28107,39224,27505,10519
20451,23395,12197,28462,48968
17122,41516,506,23246,16359
24840,12743,20606,40231,20633
48744,13871,36197,31615,22960
46363,6258,25241,12019,14994
33538,36290,19123,43217,14657
523,32106,1531,39396,17522
3179,38499,34314,11930,11606
29803,43012,49818,17866,36516
40186,40719,42937,10492,22580
7586,6661,22425,32508,20369
19880,40101,44208,28827,46880
11867,7757,3587,39225,703
15392,6415,34681,5550,42830
40638,31121,17450,15676,9936
27500,45349,23652,46976,22875
43414,2031,1211,6080,13092
13743,42796,38984,17478,682
16715,5287,27054,12531,26810
11721,18510,49558,14226,3116
13178,28091,34767,29898,26091
29069,8231,12807,39728,48260
43210,42970,19207,14004,20743
33308,2957,12062,6544,7988
2468,4129,17971,40118,29930
94,46389,10825,45855,36925
26153,26605,40197,35293,25094
46331,36368,42480,39372,21214
12229,12775,28480,45234,5183
39708,24575,30474,2919,4089
32454,2538,24275,17862,26246
35850,2853,17740,4366,38898
13004,49738,46201,15160,270
9816,8645,33200,43720,25277
47389,12334,8841,17415,44370
1951,31100,21318,20774,26700
34839,6150,36870,32993,10192
14368,26795,26123,24249,44114
1159,49108,26884,13149,5948
12822,692,26534,12480,27588
9546,24923,26086,30213,35776
11619,6582,4525,14882,26165
11926,10667,41858,21934,28211
8349,49885,31002,3410,21245
49193,9306,40670,443,23552
13323,37610,49526,41596,22267
7144,25149,23095,37849,2089
19259,46241,39871,49859,14681
36668,10403,16549,29682,16101
45335,48494,19699,46418,15179
23416,11356,36185,13973,39965
37419,31019,38650,13530,44703
31340,48068,48752,835,47082
39607,43998,8435,5366,26646
40616,33096,302,15769,22367
2509,13607,28561,42679,18044
1506,32462,11605,5948,18731
5732,43099,17282,42711,26998
25565,8063,23400,47240,38581
24457,25458,28127,22473,5481
10519,38292,6664,32089,24373
47350,47367,39978,42165,8198
13721,7770,14134,11330,46069
10049,10847,28961,14739,13724
34805,35124,7341,40735,25956
12839,9786,36253,45233,38223
33204,25238,7486,26864,10277
18718,41707,21506,26943,40532
32839,45687,32001,3550,22942
33663,33962,14848,26807,39499
23915,45303,14281,28466,23161
5756,16421,6241,26365,45008
17451,47269,22175,5207,3014
24315,8064,46109,25790,23117
18246,38371,22321,10735,8855
3927,20506,36224,12580,8169
5279,7908,31025,48947,8352
21872,27681,39576,30815,25442
21638,36576,23673,32724,22090
27175,45946,28555,28286,46066
15521,47169,13177,12802,24258
27532,1615,12918,24821,1501
12832,22479,16762,49625,39564
38956,35173,6104,44318,18857
14450,43745,13542,31752,1162
42433,2230,8201,39031,8704
36177,39639,15729,44791,36343
21101,25960,34558,48203,21533
18623,46059,39962,4901,13732
13718,29557,39114,10236,17775
12654,10349,25609,11508,15602
22443,41778,5785,25411,39853
12472,43364,5003,19967,17847
28314,1594,29790,40627,6681
4160,18771,22678,39646,4143
13953,28921,37262,2773,29705
43156,3222,24699,8801,19261
36463,1217,22885,15299,10854
28201,43623,14612,21493,16077
46856,22196,46712,40117,49230
43368,16309,14378,48762,45461
13094,6396,18173,40817,44973
6557,45508,12829,38116,41145
1147,39510,3585,31116,45906
36355,5595,1889,48108,45207
40457,38530,11094,43258,32279
39686,5168,1296,49489,12518
32941,39365,24326,34856,18068
2344,5591,33414,24226,8624
39031,5033,10765,15207,32110
5161,7601,4829,41054,2468
32028,7909,18510,35524,40537
25046,12720,17168,43276,2215
4128,47938,11409,36759,23923
47272,35941,26473,41227,19987
40163,3984,34669,43252,40051
2619,7463,27610,27382,7193
47426,1087,3405,10514,30045
35566,41025,48037,10500,2862
44561,19625,28804,14286,7835
6113,6923,31697,3998,44336
7357,14219,12651,23773,32556
47230,38034,14136,387,32915
31353,20639,10308,30754,38688
8830,27508,31586,6646,42836
22822,7584,17159,15301,15542
48714,1765,43303,22636,25903
47419,34672,43802,37918,6925
1150,43857,40460,25677,4585
19251,8707,49495,27874,40141
29114,29067,49534,37570,29505
5842,699,29986,35398,34942
40563,37897,11793,27820,32082
2506,21983,30556,28678,16062
31350,30052,41479,21226,13661
28293,11904,24912,40772,44855
944,1140,34190,141,37267
32626,27020,1310,25796,6864
31910,20919,18916,5705,39386
755,1825,31096,48671,10200
30874,2914,19932,13259,32352
26157,16429,10900,12596,36750
28714,46228,20507,37278,21958
29001,24463,43828,24747,8873
42621,36697,32845,19143,35536
48563,14185,34072,3934,18296
14637,8919,1607,30195,30862
32244,1285,48527,42030,41433
4254,32939,24603,8184,11414
16044,48601,40710,1860,15407
22183,42139,31875,10231,37918
27941,42928,44281,15616,32608
2289,29263,23219,8398,36024
21704,37032,20987,42340,13629
11685,39680,11880,34611,34376
35602,33070,2760,47479,30473
36685,32794,14443,1384,6590
22182,40481,3280,13536,2383
45751,18151,43536,23909,27266
29364,26347,21911,13937,29242
34675,20716,49921,12088,12340
20266,314,29022,48624,11415
30803,10925,41114,48538,22431
14150,49880,33431,9789,45771
27481,2751,23934,5542,15903
25936,43361,8070,36200,31952
24401,8397,48234,22738,22557
16523,13403,30263,47401,43181
39072,37674,36504,7880,28395
1481,26044,31129,7576,1612
575,26105,8164,21071,12358
33929,1151,26760,26576,12887
7304,15068,31829,335,38287
43130,10228,38314,19010,36791
41590,41828,1169,16385,29941
1603,2880,34188,28144,37446
20397,12357,27448,6164,48604
28889,36620,7617,14314,21817
10470,16353,3185,26257,17128
24275,17317,5418,26736,5724
29559,7300,38797,3779,16278
13401,39004,21643,18709,1349
3398,22339,44726,23290,38391
2445,1995,22865,40326,8681
40495,8698,23791,7598,9032
16253,9760,40806,36105,40205
21890,20058,4654,22785,25417
10670,28378,10772,35588,36270
42891,40609,16274,49700,20405
35491,15202,21426,39959,23316
42572,619,20634,11050,31944
123,29596,39602,28924,17654
47470,31087,31679,9266,26081
12136,5259,4899,30753,21938
8375,31551,23257,39696,20793
13845,3605,25087,15693,35273
35764,12533,8022,40120,45527
23809,26307,24101,17914,29182
5131,3930,31093,21706,48186
19542,12566,717,37054,25450
30435,7344,4570,9581,26164
21285,15715,7615,44365,44307
19170,42212,19177,32204,7677
20458,25559,1360,19353,3765
2572,10689,13680,28131,4047
49909,8882,27747,31627,30980
46408,33042,10229,1423,24581
42665,42462,37349,498,30733
12260,17573,26520,19645,41839
40989,3049,35808,43598,39451
45766,400,39933,559,49060
41491,22251,15087,33713,32369
8927,20421,26175,18401,15607
45916,9812,27673,24736,45408
40574,48731,38570,30242,16483
39914,18994,41454,8421,8922
42691,30469,7965,32840,28439
19420,7302,6819,12071,43406
4331,4806,46076,48084,21410
36518,12351,43033,28086,13372
14424,30639,47189,33962,42592
39649,5302,25079,19778,9490
8084,19467,32708,26137,39308
35077,34474,31894,17837,44743
49436,28361,5290,46159,8142
29339,8535,34560,3246,25156
16198,7639,1426,32580,40801
29899,18414,14189,23727,133
8652,5154,5261,48055,34267
22075,41454,14374,2744,35415
49070,43878,49976,17165,9825
48269,19444,33905,38109,46558
41074,18376,30752,27873,4714
17652,49780,7287,35592,9
27255,39572,25866,13514,40166
47214,33,17055,49657,40873
22344,42372,20037,37548,5546
11990,47601,38750,39770,1786
32336,45259,33054,16998,44924
34699,24484,46137,15733,2770
14734,45494,41955,41523,43424
39948,37028,7640,23972,7225
4814,14516,28176,15590,6092
9240,28848,4229,12542,45994
34389,41374,23321,1259,18301
40182,3249,32581,38021,15167
43944,28546,46823,2127,26498
35582,46579,10665,32719,28867
18637,2756,294,27213,35875
20196,41918,33696,49255,26216
44132,34364,43712,45799,16592
34222,23178,37807,22207,27567
28678,7716,19701,32041,34161
10737,24688,40418,31374,40189
25480,49239,45671,19727,32751
38347,24314,32157,25830,42433
9248,31707,27210,23201,47669
1398,39295,37142,14266,26441
